,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BIN
27618,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27619,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27620,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,1,5000
27621,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,Other
27622,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27623,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,1,5000
27624,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27625,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27626,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27627,T19,Independent,C1000,Preservation,Association,1,0,N,1,5000
27628,T3,Independent,C2000,Preservation,Trust,1,10000-24999,N,1,Other
27629,T3,Independent,C1200,Preservation,Association,1,25000-99999,N,1,1000000
27630,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
27631,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27632,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27633,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27634,T4,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
27635,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27636,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
27637,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5000
27638,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
27639,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
27640,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27641,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27642,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27643,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
27644,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27645,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27646,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27647,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
27648,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27649,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27650,T3,CompanySponsored,Other,Preservation,Trust,1,0,N,1,5000
27651,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,1,5000
27652,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27653,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
27654,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27655,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
27656,T6,CompanySponsored,C3000,ProductDev,Trust,1,0,N,1,5000
27657,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
27658,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27659,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27660,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27661,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
27662,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27663,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27664,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27665,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
27666,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27667,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27668,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27669,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27670,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
27671,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27672,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27673,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27674,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27675,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27676,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27677,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,50000
27678,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,0,5000
27679,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27680,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
27681,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,1,5000
27682,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27683,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27684,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27685,T3,Independent,C2000,Preservation,Trust,1,10000-24999,N,1,5000
27686,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27687,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27688,T10,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
27689,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27690,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27691,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,1,5000
27692,T3,Independent,C2100,Preservation,Trust,1,0,N,1,5000
27693,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27694,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
27695,T3,CompanySponsored,C1200,Preservation,Trust,1,10000-24999,N,0,5000
27696,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27697,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27698,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27699,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27700,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27701,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27702,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27703,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,1,5000
27704,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27705,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27706,T6,Independent,C2000,ProductDev,Association,1,10000-24999,N,0,50000
27707,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27708,T3,CompanySponsored,Other,Preservation,Trust,1,0,N,1,5000
27709,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27710,T3,CompanySponsored,C1200,Preservation,Trust,1,100000-499999,N,0,1000000
27711,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27712,T3,CompanySponsored,C2100,Preservation,Trust,1,100000-499999,N,0,50000
27713,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27714,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27715,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27716,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27717,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27718,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27719,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27720,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27721,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,5000
27722,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
27723,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27724,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27725,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27726,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27727,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27728,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27729,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
27730,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27731,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
27732,T3,Independent,C1200,Preservation,Association,1,0,N,1,5000
27733,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27734,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27735,T5,Independent,C3000,ProductDev,Association,1,0,N,1,5000
27736,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27737,T3,Other,C1000,Preservation,Corporation,1,0,N,1,5000
27738,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27739,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27740,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
27741,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27742,T3,Independent,C1200,Preservation,Trust,1,1-9999,N,1,5000
27743,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,0,5000
27744,T19,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27745,T6,CompanySponsored,Other,ProductDev,Association,1,25000-99999,N,1,1000000
27746,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,5000
27747,Other,Independent,C1000,ProductDev,Co-operative,1,5M-10M,N,0,Other
27748,Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,0,Other
27749,T3,Independent,C1000,Preservation,Co-operative,1,1-9999,N,1,5000
27750,Other,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,0,1000000
27751,Other,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,1,Other
27752,Other,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,0,Other
27753,T3,Independent,C1200,Preservation,Co-operative,1,0,N,0,Other
27754,Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,1,Other
27755,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
27756,T5,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1,50000
27757,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
27758,T19,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
27759,T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,0,1000000
27760,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
27761,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
27762,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27763,T4,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,1000000
27764,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27765,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27766,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27767,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27768,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
27769,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,1,1000000
27770,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27771,T5,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,1,1000000
27772,T3,Independent,C1000,Heathcare,Trust,1,10M-50M,N,0,Other
27773,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
27774,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27775,T3,CompanySponsored,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27776,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27777,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27778,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
27779,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27780,T19,Independent,C1000,ProductDev,Association,1,0,N,1,5000
27781,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27782,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27783,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27784,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27785,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27786,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27787,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27788,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
27789,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27790,T3,National,C1000,Preservation,Trust,1,5M-10M,N,0,Other
27791,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27792,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27793,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27794,T6,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
27795,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27796,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27797,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27798,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27799,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27800,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27801,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
27802,T3,National,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27803,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27804,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27805,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
27806,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27807,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27808,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27809,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27810,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27811,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27812,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27813,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27814,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27815,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27816,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27817,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27818,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27819,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27820,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27821,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27822,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27823,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27824,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27825,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,Other
27826,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27827,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27828,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
27829,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27830,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27831,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27832,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27833,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27834,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,50000
27835,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
27836,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27837,T3,CompanySponsored,C1000,Preservation,Association,1,10000-24999,N,0,1000000
27838,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27839,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
27840,T3,Independent,C1000,Preservation,Co-operative,1,0,N,0,5000
27841,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27842,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27843,T3,Independent,C3000,Preservation,Trust,1,0,N,1,5000
27844,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
27845,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27846,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
27847,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27848,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,0,1000000
27849,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27850,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27851,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
27852,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27853,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27854,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27855,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27856,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27857,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,50000
27858,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27859,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27860,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27861,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27862,T3,CompanySponsored,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
27863,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,0,Other
27864,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27865,T3,Independent,C1000,Preservation,Association,1,1M-5M,N,1,Other
27866,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27867,Other,Independent,C1000,ProductDev,Co-operative,1,100000-499999,N,1,1000000
27868,Other,Independent,C1000,ProductDev,Co-operative,1,0,N,1,5000
27869,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,0,1000000
27870,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27871,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27872,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
27873,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27874,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27875,Other,Independent,C1000,ProductDev,Co-operative,1,100000-499999,N,1,1000000
27876,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27877,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27878,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27879,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27880,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27881,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27882,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27883,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27884,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27885,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27886,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27887,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27888,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27889,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27890,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27891,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27892,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27893,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27894,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27895,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27896,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27897,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27898,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27899,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27900,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27901,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
27902,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27903,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27904,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27905,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27906,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27907,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27908,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27909,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27910,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27911,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,50000
27912,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27913,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27914,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27915,T3,CompanySponsored,C2000,Preservation,Trust,1,100000-499999,N,1,50000
27916,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27917,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27918,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27919,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27920,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1,1000000
27921,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27922,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27923,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27924,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27925,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
27926,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
27927,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27928,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27929,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27930,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
27931,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
27932,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
27933,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
27934,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27935,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27936,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
27937,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27938,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27939,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
27940,T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,0,5000
27941,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
27942,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
27943,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,50000
27944,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
27945,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27946,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,1000000
27947,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,0,Other
27948,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
27949,Other,Independent,C2000,ProductDev,Co-operative,1,5M-10M,N,1,Other
27950,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27951,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27952,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27953,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50000
27954,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,5000
27955,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
27956,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,Other
27957,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
27958,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27959,T19,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27960,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27961,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27962,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27963,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27964,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27965,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27966,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27967,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27968,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27969,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27970,T19,Independent,C1000,Preservation,Association,1,0,N,1,5000
27971,T3,Independent,C2100,Preservation,Trust,1,100000-499999,N,1,1000000
27972,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27973,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27974,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,0,1000000
27975,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
27976,T3,Independent,C2000,Preservation,Trust,1,10000-24999,N,1,1000000
27977,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27978,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
27979,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
27980,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27981,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,50000
27982,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,5000
27983,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
27984,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5000
27985,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
27986,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
27987,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
27988,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
27989,T4,Independent,C1000,Preservation,Association,1,0,N,1,5000
27990,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
27991,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
